# skill_name	category_zh	summary_zh
# 每行格式：skill名稱<TAB>分類<TAB>中文功能說明
# sk audit 會讀取此檔，lang=zh 時使用中文欄位
# 新增 skill 後請同步更新此檔

# === 後端 / 資料 ===
deploy	基礎建設	推薦部署平台，產生 Dockerfile / fly.toml / vercel.json 等配置
dev-process-gate	基礎建設	攔截跳過設計直接寫 code 的行為，引導走完整開發流程
headless-agent	基礎建設	Headless agent 模式範本：排程、structured logging、output 管理
init-project	基礎建設	初始化 AGENTS.md + .claude/CLAUDE.md 專案配置
plan-check-style	基礎建設	Plan mode 進入 UI 任務時，掃描並載入對應的設計風格
self-improving-agent	基礎建設	記錄錯誤/修正/最佳實踐到 .learnings/，持續學習改進
setup-permissions	基礎建設	偵測專案工具鏈，自動配置 settings.local.json 權限白名單
skill-creator	基礎建設	Skill 全生命週期：建立、測試、benchmark、優化觸發描述
skill-scout	基礎建設	從 Clawdbot/OpenClaw 生態系搜尋、評估、移植 skills
launchd-agent	基礎建設	macOS launchd 排程管理：plist 產生、StartCalendarInterval、launchctl 生命週期
repo-rename	基礎建設	Git repo 改名：系統性掃描所有跨位置引用，產生遷移 checklist
session-harvest	基礎建設	Session 結束時回顧工作，萃取可復用的 skill 候選
settings-audit	基礎建設	審計 settings.local.json：移除無效權限、修正 JSON 語法、驗證格式
tunnel-proxy-deploy	基礎建設	FastAPI + Next.js 經 Cloudflare Tunnel 部署：反向代理、CORS、port mapping
agent-persona	基礎建設	Headless agent 角色 prompt 產生器（tester/maintainer/reviewer/developer/researcher）：自動注入專案結構、工具權限與輸出格式
session-wrap	基礎建設	Session 結束清理：auto-commit 未提交變更、歸檔 learnings、更新 progress.md
sync-readme	基礎建設	跨 repo 同步 README.md 的 Skills Catalog / 參考章節（SKILL.md 修改時 hook 自動觸發）

# === 品質 / 安全 ===
code-reviewer	品質	程式碼審查：效能、正確性、可維護性
doc-to-structured-data	品質	非結構化文件轉結構化 CSV/JSON：格式偵測、欄位辨識、多表輸出
de-slopify	品質	移除 AI 生成的 slop 痕跡（含繁中模式：值得注意的是…）
destructive-command-guard	品質	PreToolUse hook，攔截 git reset --hard、rm -rf 等危險指令
post-change-qa	品質	改完 code 後自動重啟 server、跑測試、Playwright 截圖驗證
qa-planner	品質	分析 code diff 產出 QA 計畫：影響範圍、測試案例、風險評估
qa-auto	品質	根據 QA 計畫自動產生測試程式碼、執行測試、回報覆蓋率缺口
qa-testing	品質	跨框架測試撰寫指南：pytest / Vitest / Swift Testing
security-review	品質	全面安全檢查清單：auth、input validation、secrets、API
protect-secrets	品質	PreToolUse hook，阻擋讀寫 .env、私鑰、credentials 等機密檔案
systematic-debugging	品質	四階段除錯框架：觀察 → 假設 → 驗證 → 修復，禁止跳到答案
github-repo-audit	品質	GitHub repo 健康度審計：結構、文件覆蓋、CI/CD、相依性、code hygiene，產出可行動評分報告
large-file-refactor	品質	系統化拆分 500+ 行單一檔案：保持介面相容、模組化、介面測試

# === 工作流 / 規劃 ===
autoresearch	工作流	自主迭代迴圈：定義目標 + 指標 + 驗證指令，agent 自動 modify → verify → keep/discard
context-recovery	工作流	Session compaction 後自動恢復上下文（git/檔案/memory）
dispatching-parallel-agents	工作流	派遣多個 agent 平行處理 3+ 個獨立問題
executing-plans	工作流	分批執行實作計畫，每批完成後 review checkpoint
planning-with-files	工作流	Manus 風格檔案式規劃（task_plan.md / findings.md / progress.md）
requirement	工作流	定義結構化需求：user story + acceptance criteria + scope
user-flow	工作流	設計使用者流程 Mermaid 流程圖（happy path + error branch）
keyword-discovery	工作流	自動關鍵字探索：分析未匹配項目、寫入候選 YAML、高信心自動晉升
writing-plans	工作流	撰寫詳細實作計畫（TDD、2-5 分鐘 task、零背景工程師可執行）

# === 整合 / 領域 ===
claude-to-telegram	整合	設定 Telegram bridge 遠端控制 Claude Code（兩種方案比較）
tw-company-lookup	整合	台灣公司登記查詢：findbiz.nat.gov.tw 基本資料、董監事、變更紀錄
web-scraper	整合	Playwright 網頁爬蟲：反爬繞過、JS 渲染頁面、表單互動
gdrive-to-skills	整合	讀取 Google Drive 文件（MCP），分類後建立 knowledge skills
investment-research	整合	持續投資組合管理：alpha 發掘、風險管理、回測、財報分析
knowledge-graph	整合	三層記憶系統：Entity JSONL + Auto Memory + MEMORY.md
telegram-bot	整合	Telegram bot 開發指南：grammY (TS) / python-telegram-bot (Python)

# === 商業 / 銷售 ===
crm-projection	商業	CRM 客戶索引：nx_client + nx_deal 投射至本地 markdown
customer-intel	商業	B2B 客戶情蒐：公司概覽、領導層、財務、競爭者、痛點、銷售策略
material-health	商業	銷售素材庫健康檢查：frontmatter 缺漏、過期補助、陳舊資訊偵測
sales-material	商業	客製化銷售簡報：匹配情蒐、案例、方案、補助，產生 PPTX
subsidy-scraper	商業	政府補助爬蟲：自動擷取補助公告、去重、歸檔、產生 INDEX.md
tender-scraper	商業	政府標案爬蟲：g0v API 擷取、關鍵字過濾、自動探索、dashboard 可觀測
pitch-deck	商業	投資人/BP pitch deck 製作：discovery → narrative → Codex visual briefs → HTML slides → PPTX 匯出
discovery-interview	商業	結構化客戶 Discovery 訪談：找最痛的手動流程，產出 discovery-summary.md（接 sow-writer）
sow-writer	商業	台灣格式 SOW 工作說明書：12+ 標準章節、Mermaid Gantt、人天計費
rfq-writer	商業	RFQ 報價單：pre-contract 議價、範圍選項、版本控制（合約前輕量版）
metadata-workshop	商業	客戶 Metadata Workshop：商業知識轉 YAML schema（廠務 PI/SCADA/MES、ERP、travel）— AI 顧問的 moat

# === 人資 ===
candidate-analysis	人資	面試候選人管理：PDF 履歷結構化、GitHub 程式碼品質分析、候選人檔案產生
jd-writer	人資	結構化 JD 產生：工作職責、必要/加分技能、職涯路徑、薪資範圍（讀組織階層寫出精準 JD）
